,date,euro_to_usd,japanese_yen_to_usd,uk_pound_to_usd,australian_dollar_to_usd,swiss_franc_to_usd
2146,2012-02-08,1.3274,0.01299545159194282,1.5878,1.0792,1.096371011950444
2147,2012-02-09,1.3288,0.012960082944530845,1.5831,1.08,1.0948105977665863
2148,2012-02-10,1.3189,0.01287995878413189,1.5826,1.0713,1.0951702989814915
2149,2012-02-13,1.3254,0.012881617931212161,1.5797,1.074,1.096611470555982
2150,2012-02-14,1.3169,0.012836970474967907,1.5745,1.0678,1.0927767457108513
2151,2012-02-15,1.3092,0.012737230925996688,1.5705,1.0737,1.0897994768962511
2152,2012-02-16,1.2982,0.012750223128904755,1.5681,1.0683,1.077354018530489
2153,2012-02-17,1.3159,0.012647021626406981,1.5829,1.0772,1.0877841836179702
2154,2012-02-21,1.3222,0.012542330364981813,1.5802,1.0724,1.0937329104232747
2155,2012-02-22,1.323,0.01249375312343828,1.57,1.0652,1.095650268434316
2156,2012-02-23,1.33,0.012470382840753212,1.5715,1.0646,1.1032656663724625
2157,2012-02-24,1.3412,0.012414649286157667,1.5801,1.0738,1.1132138483802738
2158,2012-02-27,1.3388,0.012322858903265557,1.5866,1.0689,1.1122233344455565
2159,2012-02-28,1.3454,0.012461059190031152,1.5850000000000002,1.0777,1.1155734047300312
2160,2012-02-29,1.3443,0.01239925604463732,1.5943000000000003,1.0816,1.1152001784320285
2161,2012-03-01,1.3312,0.01231527093596059,1.5947,1.0763,1.105705440070765
2162,2012-03-02,1.3217,0.012272950417280314,1.5902000000000003,1.0793,1.0978153474585575
2163,2012-03-05,1.322,0.012257906349595489,1.5816,1.0717,1.0931351114997814
2164,2012-03-06,1.3153,0.012283503255128362,1.5771,1.0614,1.0893246187363834
2165,2012-03-07,1.312,0.012388503468780971,1.5732,1.0539,1.0894432944765224
2166,2012-03-08,1.3242,0.012300123001230012,1.5804,1.0602,1.0980564401010213
2167,2012-03-09,1.3191,0.012251899044351873,1.5795000000000001,1.0658,1.0969723562966214
2168,2012-03-12,1.3119,0.012159533073929961,1.5639,1.0533,1.087192868014786
2169,2012-03-13,1.3057,0.012143290831815423,1.5650000000000002,1.0553,1.087192868014786
2170,2012-03-14,1.3062,0.012026458208057726,1.5706,1.0547,1.08038029386344
2171,2012-03-15,1.3057,0.011907597046915932,1.5681,1.0467,1.0792143319663285
2172,2012-03-16,1.3116,0.01196888090963495,1.5735,1.0536,1.0830715910321673
2173,2012-03-19,1.315,0.011971746677840296,1.587,1.0608,1.0907504363001745
2174,2012-03-20,1.3198,0.011962445177313645,1.5839,1.057,1.0944511327569224
2175,2012-03-21,1.3225,0.011953143676786996,1.5845999999999998,1.0492,1.0978153474585575
2176,2012-03-22,1.3167,0.012004801920768308,1.5793,1.0395,1.0917030567685588
2177,2012-03-23,1.3242,0.012090436464756379,1.5821,1.0397,1.097694840834248
2178,2012-03-26,1.3276,0.012091898428053204,1.5874,1.0451,1.0984182776801406
2179,2012-03-27,1.3333,0.012067093037287317,1.5954,1.0517,1.1077877478675087
2180,2012-03-28,1.3337,0.012051096649795132,1.5915,1.0427,1.1069293779056897
2181,2012-03-29,1.3272,0.012099213551119176,1.5876,1.0371,1.1022927689594355
2182,2012-03-30,1.3356,0.012172854534388313,1.6009000000000002,1.0402,1.107297087808659
